Date,Step_Count,Distance_km,Heart_Points,Heart_Minutes,Avg_Heart_Rate_bpm,Max_Heart_Rate_bpm,Min_Heart_Rate_bpm
2024-01-01,18590,13.07,113,99,,,
2024-01-02,12900,8.52,44,43,,,
2024-01-03,18096,12.31,91,88,,,
2024-01-04,12076,8.1,65,65,,,
2024-01-05,16519,11.19,80,76,,,
2024-01-06,14354,9.99,81,81,,,
2024-01-07,14924,10.63,100,98,,,
2024-01-08,15262,10.29,61,61,,,
2024-01-09,16118,11.16,112,110,,,
2024-01-10,21654,14.6,101,100,,,
2024-01-11,20054,13.77,130,130,,,
2024-01-12,20388,13.94,121,121,,,
2024-01-13,18174,12.4,102,102,,,
2024-01-14,11639,7.72,63,63,,,
2024-01-15,10181,6.89,62,62,,,
2024-01-16,16520,11.31,87,87,,,
2024-01-17,17693,12.08,98,96,,,
2024-01-18,12462,8.47,61,61,,,
2024-01-19,12497,8.48,63,63,,,
2024-01-20,15996,10.89,74,72,,,
2024-01-21,14108,9.59,61,58,,,
2024-01-22,14535,9.73,70,70,,,
2024-01-23,13393,9.13,68,67,,,
2024-01-24,11927,8.08,68,68,,,
2024-01-25,13919,9.45,84,83,,,
2024-01-26,13504,9.13,70,68,,,
2024-01-27,14791,10.24,110,110,,,
2024-01-28,11157,7.9,84,84,,,
2024-01-29,10283,6.85,47,47,,,
2024-01-30,12898,8.65,51,51,,,
2024-01-31,13203,9.12,74,74,,,
2024-02-01,17175,12.21,104,89,,,
2024-02-02,10502,7.44,66,48,,,
2024-02-03,20857,14.56,129,129,,,
2024-02-04,10596,8.5,87,58,,,
2024-02-05,10196,6.83,47,47,,,
2024-02-06,10722,7.42,67,67,,,
2024-02-07,13700,9.26,78,78,,,
2024-02-08,12423,8.06,54,54,,,
2024-02-09,17403,12.45,128,127,,,
2024-02-10,16742,12.04,117,117,,,
2024-02-11,15128,11.41,109,89,,,
2024-02-12,10226,7.3,76,58,,,
2024-02-13,10671,7.38,62,62,,,
2024-02-14,14251,9.64,61,61,,,
2024-02-15,11592,8.12,71,71,,,
2024-02-16,11981,8.4,69,69,,,
2024-02-17,12059,8.36,62,62,,,
2024-02-18,17640,13.42,140,111,,,
2024-02-19,12073,8.63,78,77,,,
2024-02-20,13137,9.45,85,81,,,
2024-02-21,14542,10.4,97,85,,,
2024-02-22,14423,10.06,85,83,,,
2024-02-23,11570,7.96,62,62,,,
2024-02-24,12477,8.67,68,68,,,
2024-02-25,15975,11.39,114,114,,,
2024-02-26,13842,9.87,87,72,,,
2024-02-27,10632,7.49,57,57,,,
2024-02-28,14706,10.17,81,78,,,
2024-02-29,14245,9.75,61,60,,,
2024-03-01,13241,9.16,75,75,,,
2024-03-02,16380,11.08,55,53,,,
2024-03-03,17739,12.63,115,115,,,
2024-03-04,12462,8.39,60,60,,,
2024-03-05,13742,9.49,61,61,,,
2024-03-06,11811,7.99,52,52,,,
2024-03-07,14157,9.77,70,70,,,
2024-03-08,14390,10.08,82,80,,,
2024-03-09,12661,8.63,56,56,,,
2024-03-10,11918,8.47,73,73,,,
2024-03-11,12172,8.34,46,46,,,
2024-03-12,10168,7.12,63,63,,,
2024-03-13,10382,7.37,66,66,,,
2024-03-14,10405,7.27,57,56,,,
2024-03-15,12533,8.6,61,60,,,
2024-03-16,12488,8.76,72,69,,,
2024-03-17,10549,7.42,68,68,,,
2024-03-18,13621,9.78,85,82,,,
2024-03-19,11769,8.45,70,67,,,
2024-03-20,10620,7.62,66,64,,,
2024-03-21,13370,9.27,73,73,,,
2024-03-22,13267,9.31,75,75,,,
2024-03-23,10498,7.54,75,75,,,
2024-03-24,14613,10.57,103,103,,,
2024-03-25,11167,7.8,74,74,,,
2024-03-26,10885,7.69,64,64,,,
2024-03-27,10376,7.23,60,60,,,
2024-03-28,11281,7.73,44,43,,,
2024-03-29,10486,7.41,70,70,,,
2024-03-30,10594,7.19,50,50,,,
2024-03-31,10418,7.34,74,74,,,
2024-04-01,10629,7.32,59,59,,,
2024-04-02,10179,6.99,51,51,,,
2024-04-03,11854,8.04,47,47,,,
2024-04-04,10692,7.61,62,61,,,
2024-04-05,11124,7.59,65,65,,,
2024-04-06,12765,9.04,89,89,,,
2024-04-07,12040,8.46,72,71,,,
2024-04-08,12429,8.31,39,39,,,
2024-04-09,12202,8.22,56,56,,,
2024-04-10,11849,8.2,71,71,,,
2024-04-11,16107,11.24,111,111,,,
2024-04-12,10180,6.93,35,35,,,
2024-04-13,11922,8.02,36,31,,,
2024-04-14,10423,7.27,61,61,,,
2024-04-15,14640,10.27,87,75,,,
2024-04-16,14072,9.35,32,32,,,
2024-04-17,14489,9.84,38,32,,,
2024-04-18,11554,7.82,34,30,,,
